what,kind,bundleId,bundleVersion,description,time
started,bundle,org.python.pydev.customizations,1.6.4.2011010200,"org.python.pydev.customizations",1295243209429
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1295243209503
error,log,,,"Reference to undefined variable GOOGLE_APP_ENGINE",1295243209508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243209552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243231324
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1295243232961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243245472
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243247631
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243253407
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243261256
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1295243264241
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1295243271499
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1295243271525
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1295243285712
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1295243286946
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1295243286947
opened,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295243286972
activated,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295243287020
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243288338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243326447
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243394781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243409038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295243418694
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253168359
activated,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295253210548
activated,editor,org.python.pydev,1.6.4.2011010200,"org.python.pydev.editor.PythonEditor",1295253211631
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1295253214500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253230245
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1295253402238
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1295253449746
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253584068
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295253584266
